dataset,model,batch_size,optimizer,learning_rate,scheduler,epochs,best,count,val_acc_formatted
fashionmnist,resnet18,16,adam,0.0001,cosine,10,91.38571428571429,3,91.24 ± 0.13%
fashionmnist,resnet18,16,adam,0.0001,cosine,20,91.52857142857142,3,91.42 ± 0.09%
fashionmnist,resnet18,16,adam,0.0001,none,10,91.11428571428571,3,90.80 ± 0.27%
fashionmnist,resnet18,16,adam,0.001,cosine,10,92.35714285714286,3,92.28 ± 0.09%
fashionmnist,resnet18,16,adam,0.001,cosine,20,92.11428571428571,3,92.04 ± 0.07%
fashionmnist,resnet18,16,adam,0.001,none,10,91.47142857142858,3,91.34 ± 0.13%
fashionmnist,resnet18,16,sgd,0.0001,cosine,10,89.88571428571429,3,89.71 ± 0.15%
fashionmnist,resnet18,16,sgd,0.0001,cosine,20,90.51428571428572,3,90.12 ± 0.37%
fashionmnist,resnet18,16,sgd,0.0001,none,10,89.74285714285715,3,89.70 ± 0.04%
fashionmnist,resnet18,16,sgd,0.001,cosine,10,91.74285714285716,3,91.61 ± 0.14%
fashionmnist,resnet18,16,sgd,0.001,cosine,20,91.78571428571428,3,91.73 ± 0.06%
fashionmnist,resnet18,16,sgd,0.001,none,10,91.21428571428572,3,90.89 ± 0.29%
fashionmnist,resnet18,32,adam,0.0001,cosine,10,90.94285714285714,3,90.67 ± 0.40%
fashionmnist,resnet18,32,adam,0.0001,cosine,20,91.4,3,91.18 ± 0.21%
fashionmnist,resnet18,32,adam,0.0001,none,10,90.4,3,90.19 ± 0.20%
fashionmnist,resnet18,32,adam,0.001,cosine,10,92.42857142857144,3,92.22 ± 0.19%
fashionmnist,resnet18,32,adam,0.001,cosine,20,92.21428571428572,3,92.12 ± 0.09%
fashionmnist,resnet18,32,adam,0.001,none,10,91.11428571428571,3,91.03 ± 0.13%
fashionmnist,resnet18,32,sgd,0.0001,cosine,10,89.21428571428571,3,88.80 ± 0.37%
fashionmnist,resnet18,32,sgd,0.0001,cosine,20,89.48571428571428,3,89.44 ± 0.04%
fashionmnist,resnet18,32,sgd,0.0001,none,10,89.24285714285715,3,88.93 ± 0.29%
fashionmnist,resnet18,32,sgd,0.001,cosine,10,91.42857142857144,3,91.05 ± 0.36%
fashionmnist,resnet18,32,sgd,0.001,cosine,20,91.45714285714286,3,91.28 ± 0.22%
fashionmnist,resnet18,32,sgd,0.001,none,10,90.6,3,90.47 ± 0.22%
fashionmnist,resnet34,16,adam,0.001,cosine,20,92.27142857142856,3,92.08 ± 0.25%
fashionmnist,resnet34,16,adam,0.001,none,20,91.9,3,91.51 ± 0.34%
fashionmnist,resnet50,16,adam,0.0001,cosine,10,90.34285714285714,3,90.01 ± 0.30%
fashionmnist,resnet50,16,adam,0.0001,cosine,20,90.7,3,90.55 ± 0.14%
fashionmnist,resnet50,16,adam,0.0001,none,10,90.91428571428573,3,90.21 ± 0.62%
fashionmnist,resnet50,16,adam,0.0001,none,20,90.91428571428573,3,90.45 ± 0.41%
fashionmnist,resnet50,16,adam,0.001,cosine,10,92.01428571428572,3,91.90 ± 0.15%
fashionmnist,resnet50,16,adam,0.001,cosine,20,92.01428571428572,3,91.90 ± 0.11%
fashionmnist,resnet50,16,adam,0.001,none,10,90.68571428571428,3,89.24 ± 1.59%
fashionmnist,resnet50,16,sgd,0.0001,cosine,10,87.11428571428571,3,86.70 ± 0.49%
fashionmnist,resnet50,16,sgd,0.0001,cosine,20,89.04285714285714,3,88.66 ± 0.36%
fashionmnist,resnet50,16,sgd,0.0001,none,10,87.22857142857143,3,87.04 ± 0.23%
fashionmnist,resnet50,16,sgd,0.001,cosine,10,90.65714285714286,3,90.04 ± 0.64%
fashionmnist,resnet50,16,sgd,0.001,cosine,20,90.71428571428572,3,90.40 ± 0.50%
fashionmnist,resnet50,16,sgd,0.001,none,10,89.82857142857142,3,89.50 ± 0.31%
fashionmnist,resnet50,16,sgd,0.001,none,20,90.6,3,90.29 ± 0.45%
fashionmnist,resnet50,32,adam,0.0001,cosine,10,89.05714285714286,3,88.65 ± 0.46%
fashionmnist,resnet50,32,adam,0.0001,cosine,20,90.0,3,89.87 ± 0.19%
fashionmnist,resnet50,32,adam,0.001,cosine,10,91.85714285714286,3,91.47 ± 0.37%
fashionmnist,resnet50,32,adam,0.001,cosine,20,91.97142857142858,3,91.69 ± 0.26%
fashionmnist,resnet50,32,sgd,0.0001,cosine,10,85.75714285714285,3,85.41 ± 0.30%
fashionmnist,resnet50,32,sgd,0.0001,cosine,20,87.68571428571428,3,87.40 ± 0.36%
fashionmnist,resnet50,32,sgd,0.001,cosine,10,89.38571428571429,3,89.02 ± 0.36%
fashionmnist,resnet50,32,sgd,0.001,cosine,20,89.85714285714286,3,89.73 ± 0.16%
mnist,resnet18,16,adam,0.0001,cosine,10,99.37142857142857,3,99.30 ± 0.07%
mnist,resnet18,16,adam,0.0001,cosine,20,99.34285714285714,6,99.20 ± 0.12%
mnist,resnet18,16,adam,0.0001,none,10,99.12857142857143,3,99.10 ± 0.04%
mnist,resnet18,16,adam,0.001,cosine,10,99.5,3,99.45 ± 0.06%
mnist,resnet18,16,adam,0.001,cosine,20,99.45714285714286,3,99.40 ± 0.05%
mnist,resnet18,16,adam,0.001,none,10,99.27142857142856,3,99.23 ± 0.04%
mnist,resnet18,16,adam,0.001,none,20,99.27142857142856,3,99.23 ± 0.04%
mnist,resnet18,16,sgd,0.0001,cosine,10,98.8,3,98.76 ± 0.06%
mnist,resnet18,16,sgd,0.0001,cosine,20,99.11428571428571,3,98.90 ± 0.18%
mnist,resnet18,16,sgd,0.0001,none,10,98.87142857142857,3,98.84 ± 0.04%
mnist,resnet18,16,sgd,0.0001,none,20,99.05714285714286,3,98.96 ± 0.09%
mnist,resnet18,16,sgd,0.001,cosine,10,99.27142857142856,3,99.20 ± 0.06%
mnist,resnet18,16,sgd,0.001,cosine,20,99.34285714285714,3,99.32 ± 0.04%
mnist,resnet18,16,sgd,0.001,none,10,99.2,3,99.14 ± 0.05%
mnist,resnet18,16,sgd,0.001,none,20,99.31428571428572,3,99.20 ± 0.10%
mnist,resnet18,32,adam,0.0001,cosine,10,99.47142857142858,6,99.25 ± 0.19%
mnist,resnet18,32,adam,0.0001,cosine,20,99.34285714285714,5,99.22 ± 0.19%
mnist,resnet18,32,adam,0.0001,none,10,99.12857142857143,6,99.01 ± 0.09%
mnist,resnet18,32,adam,0.0001,none,20,99.22857142857144,3,99.12 ± 0.14%
mnist,resnet18,32,adam,0.001,cosine,10,99.44285714285714,6,99.41 ± 0.03%
mnist,resnet18,32,adam,0.001,cosine,20,99.54285714285714,6,99.45 ± 0.07%
mnist,resnet18,32,adam,0.001,none,10,99.14285714285714,6,99.09 ± 0.04%
mnist,resnet18,32,adam,0.001,none,20,99.41428571428573,3,99.30 ± 0.11%
mnist,resnet18,32,sgd,0.0001,cosine,10,98.48571428571428,3,98.44 ± 0.04%
mnist,resnet18,32,sgd,0.0001,cosine,20,98.74285714285716,6,98.57 ± 0.11%
mnist,resnet18,32,sgd,0.0001,none,10,98.68571428571428,3,98.55 ± 0.13%
mnist,resnet18,32,sgd,0.001,cosine,10,99.22857142857144,3,99.14 ± 0.10%
mnist,resnet18,32,sgd,0.001,cosine,20,99.34285714285714,6,99.18 ± 0.09%
mnist,resnet18,32,sgd,0.001,none,10,99.21428571428572,3,99.13 ± 0.09%
mnist,resnet50,16,adam,0.0001,cosine,10,99.05714285714286,3,98.89 ± 0.15%
mnist,resnet50,16,adam,0.0001,cosine,20,99.28571428571428,3,99.19 ± 0.10%
mnist,resnet50,16,adam,0.001,cosine,10,99.4,3,99.30 ± 0.10%
mnist,resnet50,16,adam,0.001,cosine,20,99.34285714285714,3,99.26 ± 0.09%
mnist,resnet50,16,adam,0.001,none,10,98.95714285714286,3,98.90 ± 0.10%
mnist,resnet50,16,sgd,0.0001,cosine,10,98.24285714285716,3,98.12 ± 0.11%
mnist,resnet50,16,sgd,0.0001,cosine,20,98.54285714285714,3,98.50 ± 0.04%
mnist,resnet50,16,sgd,0.0001,none,10,98.4,3,98.32 ± 0.10%
mnist,resnet50,16,sgd,0.001,cosine,10,99.04285714285714,3,98.99 ± 0.05%
mnist,resnet50,16,sgd,0.001,cosine,20,99.14285714285714,3,99.07 ± 0.07%
mnist,resnet50,16,sgd,0.001,none,10,98.91428571428573,3,98.81 ± 0.10%
mnist,resnet50,32,adam,0.0001,cosine,10,98.68571428571428,3,98.64 ± 0.05%
mnist,resnet50,32,adam,0.0001,cosine,20,99.05714285714286,6,98.96 ± 0.10%
mnist,resnet50,32,adam,0.001,cosine,10,99.37142857142857,3,99.27 ± 0.11%
mnist,resnet50,32,adam,0.001,cosine,20,99.5,6,99.34 ± 0.13%
mnist,resnet50,32,adam,0.001,none,10,98.82857142857142,6,98.77 ± 0.05%
mnist,resnet50,32,sgd,0.0001,cosine,10,97.55714285714286,3,97.48 ± 0.11%
mnist,resnet50,32,sgd,0.0001,cosine,20,98.11428571428571,5,97.99 ± 0.08%
mnist,resnet50,32,sgd,0.001,cosine,10,98.95714285714286,3,98.92 ± 0.03%
mnist,resnet50,32,sgd,0.001,cosine,20,99.04285714285714,3,99.01 ± 0.03%
